일자,시가
2023-06-02,47200
2023-06-01,47550
2023-05-31,48000
2023-05-30,48250
2023-05-26,48100
2023-05-25,48850
2023-05-24,49300
2023-05-23,49600
2023-05-22,49450
2023-05-19,49350
2023-05-18,49300
2023-05-17,49250
2023-05-16,49150
2023-05-15,49100
2023-05-12,49000
2023-05-11,49050
2023-05-10,48900
2023-05-09,48900
2023-05-08,48750
2023-05-04,48350
2023-05-03,49000
2023-05-02,48850
