일자,시가
2023-06-02,71700
2023-06-01,70900
2023-05-31,72400
2023-05-30,71300
2023-05-26,69800
2023-05-25,69900
2023-05-24,68100
2023-05-23,68500
2023-05-22,68400
2023-05-19,67800
2023-05-18,66000
2023-05-17,65900
2023-05-16,65800
2023-05-15,64100
2023-05-12,63700
2023-05-11,64700
2023-05-10,65500
2023-05-09,65800
2023-05-08,66300
2023-05-04,65600
2023-05-03,65100
2023-05-02,66000
