일자,시가
2023-06-02,86300
2023-06-01,88600
2023-05-31,88300
2023-05-30,89600
2023-05-26,89400
2023-05-25,90300
2023-05-24,89900
2023-05-23,90300
2023-05-22,88800
2023-05-19,89900
2023-05-18,90000
2023-05-17,88000
2023-05-16,89000
2023-05-15,87900
2023-05-12,89600
2023-05-11,88100
2023-05-10,89400
2023-05-09,90400
2023-05-08,89900
2023-05-04,90000
2023-05-03,90500
2023-05-02,91000
