일자,시가
2023-06-02,20750
2023-06-01,20600
2023-05-31,19730
2023-05-30,19390
2023-05-26,19410
2023-05-25,19410
2023-05-24,20250
2023-05-23,20750
2023-05-22,20600
2023-05-19,20900
2023-05-18,21250
2023-05-17,21150
2023-05-16,20800
2023-05-15,19640
2023-05-12,21000
2023-05-11,20500
2023-05-10,20900
2023-05-09,20800
2023-05-08,20050
2023-05-04,20100
2023-05-03,19350
2023-05-02,18580
